Ano;Mes;Dia;Hora;Min;Carga
2014;1;29;7;0;38860,5
2014;1;29;8;0;40554,1
2014;1;29;9;0;43976,3
2014;1;29;10;0;46197,2
2014;1;29;11;0;47519,1
2014;1;29;12;0;47851,7
2014;1;29;13;0;47290,1
2014;1;29;14;0;48541,8
2014;1;29;15;0;49403,7
2014;1;29;16;0;49684,5
2014;1;29;17;0;49167,4
2014;1;29;18;0;46576,3
2014;1;29;19;0;43086,7
2014;1;29;20;0;41686,3
2014;1;29;21;0;45998,4
2014;1;29;22;0;47051,5
2014;1;29;23;0;47283,1
2014;1;30;0;0;44535,4
2014;1;30;1;0;41346,7
2014;1;30;2;0;38899,4
2014;1;30;3;0;37436,8
2014;1;30;4;0;36699,9
2014;1;30;5;0;36467,8
2014;1;30;6;0;37316,9
2014;1;30;7;0;38984,3
2014;1;30;8;0;40494,4
2014;1;30;9;0;44002,2
2014;1;30;10;0;46388,2
2014;1;30;11;0;47954,6
2014;1;30;12;0;47944,6
2014;1;30;13;0;47261,4
2014;1;30;14;0;48860,1
2014;1;30;15;0;49712,8
2014;1;30;16;0;49814,8
2014;1;30;17;0;48987
2014;1;30;18;0;46261,5
2014;1;30;19;0;42823,3
2014;1;30;20;0;41899,5
2014;1;30;21;0;46116,9
2014;1;30;22;0;47196,4
2014;1;30;23;0;46466,6
2014;1;31;0;0;45834,7
2014;1;31;1;0;41888,1
2014;1;31;2;0;39414,8
2014;1;31;3;0;37897,1
2014;1;31;4;0;37128,9
2014;1;31;5;0;36869,7
2014;1;31;6;0;37658,8
2014;1;31;7;0;39173,1
2014;1;31;8;0;40858,7
2014;1;31;9;0;44149,1
2014;1;31;10;0;46643,4
2014;1;31;11;0;48052,7
2014;1;31;12;0;48119,7
2014;1;31;13;0;47458,6
2014;1;31;14;0;48731,9
2014;1;31;15;0;49436,1
2014;1;31;16;0;49302,9
2014;1;31;17;0;48308,9
2014;1;31;18;0;46098,2
2014;1;31;19;0;42295,5
2014;1;31;20;0;41307,7
2014;1;31;21;0;45562,9
2014;1;31;22;0;46291
2014;1;31;23;0;45660,4
2014;2;1;0;0;45635,9
2014;2;1;1;0;42713
2014;2;1;2;0;39936,8
2014;2;1;3;0;38226,1
2014;2;1;4;0;37176,4
2014;2;1;5;0;36669,7
2014;2;1;6;0;36507,3
2014;2;1;7;0;36427,4
2014;2;1;8;0;36430,2
2014;2;1;9;0;38464,6
2014;2;1;10;0;40375,4
2014;2;1;11;0;41345,6
2014;2;1;12;0;41287,2
2014;2;1;13;0;40916,5
2014;2;1;14;0;40751,7
2014;2;1;15;0;40571,4
2014;2;1;16;0;40417,6
2014;2;1;17;0;40150,2
2014;2;1;18;0;39804,9
2014;2;1;19;0;39468,3
2014;2;1;20;0;39969,8
2014;2;1;21;0;44558,4
2014;2;1;22;0;44803,2
2014;2;1;23;0;43210,2
2014;2;2;0;0;41944,1
2014;2;2;1;0;39883,9
2014;2;2;2;0;37964,2
2014;2;2;3;0;36351,2
2014;2;2;4;0;35477,1
2014;2;2;5;0;34664,1
2014;2;2;6;0;34127,5
2014;2;2;7;0;33394,1
2014;2;2;8;0;32116,9
2014;2;2;9;0;32990,1
2014;2;2;10;0;34013,4
2014;2;2;11;0;34793,9
2014;2;2;12;0;35109,9
2014;2;2;13;0;35150,6
2014;2;2;14;0;35231,2
2014;2;2;15;0;35563,2
2014;2;2;16;0;35883,5
2014;2;2;17;0;36351,8
2014;2;2;18;0;36917,2
2014;2;2;19;0;37344,6
2014;2;2;20;0;38120,9
2014;2;2;21;0;42506,3
2014;2;2;22;0;43598,6
2014;2;2;23;0;43490,1
2014;2;3;0;0;41859
2014;2;3;1;0;39461,7
2014;2;3;2;0;37510,3
2014;2;3;3;0;36516,9
2014;2;3;4;0;35744,3
2014;2;3;5;0;35624
2014;2;3;6;0;36881,3
2014;2;3;7;0;39119,3
2014;2;3;8;0;40889
2014;2;3;9;0;44732,5
2014;2;3;10;0;47377,6
2014;2;3;11;0;48970,6
2014;2;3;12;0;49133,7
2014;2;3;13;0;48287,8
2014;2;3;14;0;49547,5
2014;2;3;15;0;50470,4
2014;2;3;16;0;50592,7
2014;2;3;17;0;50153,5
2014;2;3;18;0;47248,6
2014;2;3;19;0;43686
2014;2;3;20;0;42456,3
2014;2;3;21;0;46816,1
2014;2;3;22;0;48231,6
2014;2;3;23;0;47924,6
2014;2;4;0;0;45684,1
2014;2;4;1;0;42610,3
2014;2;4;2;0;40183,3
2014;2;4;3;0;38797,9
2014;2;4;4;0;38077,9
2014;2;4;5;0;37884,7
2014;2;4;6;0;38770,4
2014;2;4;7;0;40881,5
2014;2;4;8;0;41764,3
2014;2;4;9;0;45451,5
2014;2;4;10;0;48032,1
2014;2;4;11;0;49550,6
2014;2;4;12;0;49559,5
2014;2;4;13;0;48638,1
2014;2;4;14;0;49996,9
2014;2;4;15;0;50307,4
2014;2;4;16;0;50335,8
2014;2;4;17;0;49738,6
2014;2;4;18;0;47275,8
2014;2;4;19;0;43695,8
2014;2;4;20;0;42659,1
2014;2;4;21;0;46862,7
2014;2;4;22;0;48266,5
2014;2;4;23;0;47978,5
2014;2;5;0;0;45647,8
